dataset,timestep,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,1min,45332,mini_rocket,30,1,True,True,,0.5461538461538461
twelve,1min,45332,mini_rocket,30,4,True,True,1min,0.5333333333333333
twelve,1min,45332,mini_rocket,30,3,False,True,1min,0.4974358974358974
twelve,1min,45332,mini_rocket,30,8,True,True,1min,0.4564102564102564
twelve,1min,45332,mini_rocket,30,10,False,True,,0.5307692307692308
twelve,1min,45362,mini_rocket,30,1,True,False,1min,0.4846153846153846
twelve,1min,45332,mini_rocket,30,6,True,True,1min,0.4871794871794871
twelve,1min,45362,mini_rocket,30,4,True,False,1min,0.5230769230769231
twelve,1min,45332,mini_rocket,30,10,False,True,,0.5
twelve,1min,45362,mini_rocket,30,11,True,False,1min,0.4871794871794871
twelve,1min,45332,mini_rocket,30,7,False,True,,0.5230769230769231
twelve,1min,45332,mini_rocket,30,5,False,True,1min,0.4923076923076923
twelve,1min,45362,mini_rocket,30,11,True,False,1min,0.5230769230769231
twelve,1min,45332,mini_rocket,30,5,False,True,,0.541025641025641
twelve,1min,45332,mini_rocket,30,15,False,True,,0.4974358974358974
twelve,1min,45332,mini_rocket,30,1,False,True,,0.5
twelve,1min,45362,mini_rocket,30,11,False,False,1min,0.5153846153846153
twelve,1min,45362,mini_rocket,30,10,False,False,,0.5282051282051282
twelve,1min,45332,mini_rocket,30,8,True,True,,0.4871794871794871
twelve,1min,45332,mini_rocket,30,13,True,True,,0.4897435897435897
twelve,1min,45362,mini_rocket,30,3,True,False,1min,0.4923076923076923
twelve,1min,45362,mini_rocket,30,12,False,False,,0.4871794871794871
twelve,1min,45332,mini_rocket,30,9,False,True,1min,0.517948717948718
twelve,1min,45362,mini_rocket,30,11,True,False,,0.4589743589743589
twelve,1min,45362,mini_rocket,30,1,True,False,1min,0.4846153846153846
twelve,1min,36043,mini_rocket,30,4,True,False,1min,0.5897435897435898
twelve,1min,36043,mini_rocket,30,7,True,False,1min,0.5
twelve,5min,36043,mini_rocket,30,10,True,False,,0.5769230769230769
twelve,5min,36043,mini_rocket,30,10,True,False,,0.4487179487179487
twelve,5min,36014,mini_rocket,30,3,True,True,,0.5897435897435898
twelve,5min,36014,mini_rocket,30,7,True,True,5min,0.4230769230769231
twelve,5min,36043,mini_rocket,30,13,False,False,,0.4487179487179487
twelve,5min,36043,mini_rocket,30,1,True,False,,0.5512820512820513
twelve,5min,36043,mini_rocket,30,15,False,False,,0.5897435897435898
twelve,5min,36043,mini_rocket,30,10,True,False,,0.4871794871794871
twelve,5min,36043,mini_rocket,30,12,False,False,,0.5384615384615384
twelve,5min,36014,mini_rocket,30,6,True,True,,0.4871794871794871
twelve,5min,36043,mini_rocket,30,13,True,False,5min,0.4230769230769231
twelve,5min,36043,mini_rocket,30,1,False,False,,0.4615384615384615
twelve,5min,36043,mini_rocket,30,2,False,False,,0.5769230769230769
twelve,5min,36014,mini_rocket,30,8,False,True,,0.4743589743589743
twelve,5min,36043,mini_rocket,30,11,False,False,,0.4871794871794871
twelve,5min,36043,mini_rocket,30,2,True,False,5min,0.4102564102564102
twelve,5min,36014,mini_rocket,30,6,False,True,5min,0.4358974358974359
twelve,5min,36014,mini_rocket,30,4,True,True,,0.4615384615384615
twelve,5min,36043,mini_rocket,30,13,False,False,,0.358974358974359
twelve,5min,36014,mini_rocket,30,14,True,True,5min,0.3717948717948718
twelve,5min,36014,mini_rocket,30,5,False,True,5min,0.5384615384615384
twelve,5min,36014,mini_rocket,30,11,True,True,5min,0.4743589743589743
twelve,5min,36043,mini_rocket,30,12,True,False,5min,0.4871794871794871
twelve,15min,13466,mini_rocket,30,13,False,True,15min,0.6153846153846154
twelve,15min,13496,mini_rocket,30,8,True,False,,0.5
twelve,15min,13466,mini_rocket,30,2,True,True,15min,0.38461538461538464
twelve,15min,13496,mini_rocket,30,1,True,False,15min,0.46153846153846156
twelve,15min,13496,mini_rocket,30,9,True,False,15min,0.3076923076923077
twelve,15min,13466,mini_rocket,30,13,True,True,,0.5
twelve,15min,13466,mini_rocket,30,10,True,True,,0.6153846153846154
twelve,15min,13496,mini_rocket,30,14,True,False,,0.34615384615384615
twelve,15min,13466,mini_rocket,30,8,False,True,15min,0.6153846153846154
twelve,15min,13496,mini_rocket,30,14,False,False,,0.4230769230769231
twelve,15min,13466,mini_rocket,30,5,False,True,15min,0.6153846153846154
twelve,15min,13466,mini_rocket,30,11,False,True,,0.5769230769230769
twelve,15min,13466,mini_rocket,30,11,False,True,15min,0.6538461538461539
twelve,15min,13466,mini_rocket,30,12,False,True,15min,0.46153846153846156
twelve,15min,13466,mini_rocket,30,15,False,True,15min,0.4230769230769231
twelve,15min,13466,mini_rocket,30,7,False,True,15min,0.5
twelve,15min,13466,mini_rocket,30,11,False,True,15min,0.5769230769230769
twelve,15min,13466,mini_rocket,30,6,False,True,15min,0.5769230769230769
twelve,15min,13466,mini_rocket,30,12,False,True,15min,0.6923076923076923
twelve,15min,13466,mini_rocket,30,4,False,True,15min,0.6153846153846154
twelve,15min,13466,mini_rocket,30,11,False,True,15min,0.38461538461538464
twelve,15min,13466,mini_rocket,30,13,False,True,15min,0.4230769230769231
twelve,15min,13466,mini_rocket,30,12,False,True,15min,0.34615384615384615
twelve,15min,13466,mini_rocket,30,15,False,True,15min,0.5384615384615384
twelve,15min,13466,mini_rocket,30,9,False,True,15min,0.38461538461538464
